seed_keyword	keyword	monthly_search	product_count	keyword_id
수태	몬스테라 수태봉	350	4124	237516644
수태	뉴질랜드 수태	350	1809	250706304
물조리개	남영 물조리개	350	139	255858383
상토	무비상토	340	637	3779364
분갈이흙	분갈이흙원예용상토	340	6435	414156738
질석	질석벽지	340	1699	41325
자갈	흑자갈	340	4563	3768428
피트모스	화이트피트모스	330	157	3774194
저면관수	저면관수 방법	330	1	238351781
분갈이흙	거목산업사 분갈이 흙	320	996	334323390
화분받침	바퀴달린화분받침	320	36891	3817159
비닐하우스	비닐하우스 개폐기	310	36380	238606756
식물영양제	관엽식물 영양제	300	8224	237509950
모종삽	다이소 모종삽	300	38	237763068
깔망	화분깔망	290	19336	3812842
비료	잔디비료	290	17530	484829
피트모스	피트모스가격	280	5597	3811764
물조리개	이케아 물조리개	280	1046	237509808
화분받침	사각화분받침대	280	60443	3817189
조경석	조경석판매	270	220580	3814925
자갈	화분자갈	260	61550	3768354
깔망	화분 깔망	250	19585	245522544
비료	전동비료살포기	250	49070	7524699
화산석	제주화산석	240	931	10061690
물조리개	물조리개 만들기	240	2876	256014265
비닐하우스	비닐하우스 차광막	240	28232	253428998
멀칭	멀칭핀	240	23072	3812679
질석	질석보드	230	753	41328
퇴비	퇴비통	230	40824	3817632
퇴비	우분 퇴비	220	78	258332352
멀칭	멀칭필름	220	25407	46968027
퇴비	퇴비계분	210	2867	70012324
코코피트	코코피트블럭	200	418	3878797
화산석	화산석팔찌	200	5325	14519200
자갈	조경자갈	200	46308	3768228
식물지지대	넝쿨식물 지지대	200	172072	256034947
자갈	마당자갈	190	15230	3767783
분갈이세트	분갈이 세트	190	34717	245696782
씨앗	미니연꽃씨앗	190	462	3827943
멀칭	비닐멀칭	190	82716	3812715
마사토	마사토흙	180	18943	16686578
수태	크레 수태	180	104	368373502
플로랄폼	오아시스 플로랄폼	180	3552	242983257
화분받침	화분받침선반	180	48241	50547415
가드닝	가드닝 뜻	180	520918	239222109
비료	엔진 비료살포기	170	23003	249940697
코코피트	압축코코피트	160	847	504993
배양토	솔림배양토	150	59	303123609
피트모스	피트모스 250l	150	210	258674326
물조리개	미니 물조리개	150	20434	237509809
화분받침	이동식화분받침	150	101604	3817260
모종	에키네시아 모종	150	884	255725342
분갈이흙	금전수 분갈이 흙	140	112200	285321437
배양토	배양토 50l	140	2064	256919541
질석	범죄예방질서계	140	0	448584075
피트모스	블루베리 피트모스	140	1237	238116018
조경석	조경석가격	140	45651	3814922
화분받침	철제화분받침대	140	202931	28675
화산석	화산석타일	120	849	2084837
자갈	현무암자갈	120	2094	3768327
상토	분갈이상토	110	25254	3777249
화산석	천연화산석	110	14599	593486
화분받침	사각화분받침	110	58906	3817187
적옥토	적옥토 소립	100	752	276003013
피트모스	피트모스 상토	100	2429	255860045
수태	수태망	100	264	43905852
자갈	맥반석자갈	100	5124	3767833
슬릿화분	가네야 슬릿화분	100	2334	350877788
멀칭	멀칭고정핀	100	19702	7623400
멀칭	생분해멀칭비닐	100	470	244992277
가드닝	가드닝샵소소한	90	1169	309829775
가드닝	샤넬 가드니아 향수	90	188	280968161
상토	상토 50L	80	3339	270390479
상토	한아름상토 50L	80	1088	338237516
녹소토	녹소토가격	80	3069	65727357
자갈	오색자갈	80	4138	3768133
바크	바크 실내화	70	23	479830888
녹소토	녹소토 중립	70	230	264276543
피트모스	피트모스 대용량	70	268	258709754
토양살충제	친환경 토양살충제	70	304	256927451
물조리개	스텐 물조리개	70	15332	251091388
화분받침	직사각화분받침	70	16795	3817303
퇴비	텃밭거름퇴비	70	0	330336667
펄라이트	펄라이트 50L	60	710	257568868
적옥토	적옥토 세립	60	338	276003014
피트모스	깨비농장 피트모스	60	31	258709753
자갈	색자갈	60	5816	3768046
조경석	자연석조경석	60	2149	3814740
텃밭	베란다 텃밭 화분	60	137363	237528764
퇴비	텃밭퇴비	60	18237	3859787
녹소토	녹소토 세립	50	397	263768293
질석	질석대립	50	131	46990650
화산석	화분화산석	50	10824	3768358
식물지지대	식물 지지대 만들기	50	4060	256034946
물조리개	코끼리 물조리개	50	5548	254359342
물조리개	물조리개 대형	50	10306	249976344
토양살충제	토양살충제살포시기	40	211	304690040
저면관수	저면관수 받침	40	1448	267694356
마사토	황토마사토	30	678	44338432
펄라이트	펄라이트 중립	30	302	258812740
펄라이트	펄라이트블럭	30	0	401497555
조경석	가공조경석	30	46	110021178
멀칭	멀칭비닐 500m	30	1083	415924510
멀칭	멀칭타공기	30	16961	276111945
마사토	마사토20kg	20	1153	11635508
마사토	이리야마사토시	20	201	274183074
다육이흙	세경팜 다육이흙	20	175	356270519
펄라이트	펄라이트 대용량	20	431	275519914
바크	바크초콜릿 키트	20	346	298319926
녹소토	녹소토 적옥토	20	380	276002969
녹소토	녹소토 대립	20	238	276002963
훈탄	훈탄 대용량	20	44	267104063
토양살충제	토양살충제살포방법	20	1988	291422226
식물지지대	식물 지지대 철사	20	127485	264529520
식물지지대	식물 지지대 끈	20	26823	252349153
식물지지대	식물 지지대 원형	20	18461	258702267
식물지지대	식물지지대가격	20	0	66495153
모종삽	모종삽 세트	20	43752	250156904
모종삽	모종삽 스텐	20	14007	286688960
모종삽	고추 모종삽	20	2872	256191782
모종삽	모종삽 장난감	20	414	278759465
조경석	어항 조경석	20	5200	255730932
저면관수	저면관수기	20	33232	324331431
원예용품	원예용품 쇼핑몰	20	8024880	297306808
원예용품	원예용품 정리함	20	10607	270985277
